Filename,MFS 0,MFS 1,MFS 2,MFS 3,MFS 4,MFS 5,MFS 6,MFS 7,MFS 8,MFS 9,MFS 10,MFS 11,MFS 12,MFS 13,MFS 14,MFS 15,MFS 16,MFS 17,MFS 18,MFS 19
BA08_120_3Slices,1.0378036268,0.9796685807,1.1623490718,1.4113966753,1.6707318734,1.9084299881,2.0884384511,2.2111214671,2.7707838808,2.2935995777,2.272215003,2.2162736249,2.1315077742,2.0177427896,1.8975567709,1.7603091862,1.6177476558,1.461959049,1.3028554744,1.2116087803
BA09_120_1Slices,0.9098298469,0.8680651057,1.0676253099,1.3731359963,1.6768861808,1.9240287325,2.1087479409,2.2387615912,2.8194391367,2.3316628989,2.3072743101,2.2450317042,2.1469230217,2.0241709977,1.8925628665,1.7545638992,1.6191094904,1.5063166405,1.401212971,1.4312276725
BA09_120_3Slices,0.9182249687,0.8749668205,1.0990150728,1.4169275548,1.7099582955,1.9508163934,2.1334164765,2.2622087978,2.8175699136,2.3532340588,2.3304796894,2.2684180665,2.1734670001,2.0509527349,1.9222663557,1.7794046145,1.6424067763,1.5230735409,1.4067539891,1.4181877696
BA10_120_1Slices,1.5218757997,1.2623676867,1.2959751784,1.3727193023,1.4939143395,1.7413886971,1.990104853,2.1676565991,2.7324848454,2.294098764,2.2735094897,2.2084337948,2.1063255691,1.9727184687,1.8233869775,1.6543504717,1.4802130268,1.3038085541,1.1448866192,1.0894139106
BA11_120_4Slices,0.4030064173,0.7819260635,1.1378301232,1.4405748377,1.6887826925,1.9169526653,2.0833769706,2.1946917177,2.8144830294,2.2749761644,2.253420126,2.19207288,2.0995750258,1.9898407549,1.8500296493,1.7143069931,1.5701513619,1.4198010506,1.3010894263,1.3075779198
BA12_120_1Slices,0.3731311533,0.8194252049,1.1780348042,1.4913841643,1.7732007387,1.9862478042,2.1479054517,2.2616704564,2.7604535847,2.3406861576,2.3237204757,2.270325571,2.1829782887,2.077175055,1.9436910267,1.7941669331,1.6430229494,1.4831284852,1.3369170933,1.2604629892
BA12_120_2Slices,0.5745878938,1.0019220531,1.3225982759,1.6107101355,1.8548914115,2.0500724799,2.1950082676,2.2819894936,2.7799642826,2.3344125096,2.3099334829,2.2494584705,2.1643417518,2.0533956699,1.9172226019,1.7724576313,1.6150229945,1.4396568677,1.254296814,1.1073546719
BA12_120_3Slices,0.3487233241,0.65848375,1.0571498317,1.4432830846,1.7203907781,1.944317077,2.1099362441,2.2250229509,2.7755473649,2.3133676734,2.2962263588,2.2421596815,2.1529495497,2.0307058746,1.8941904308,1.7434779134,1.5997337454,1.4373217412,1.3073011334,1.2125702908
BA13_120_1Slices,0.9278545084,0.7646768798,0.9232259962,1.2083474195,1.495478893,1.7711218572,1.9823405918,2.1285309961,2.6445321907,2.2178384739,2.1814996568,2.1066693973,2.0109505931,1.9061142891,1.8045261265,1.688609864,1.5812847085,1.4454555124,1.3269331795,1.2686143265
BA13_120_3Slices,1.811831747,1.6193659655,1.5981417038,1.5934901938,1.6221256344,1.6973266647,1.9151505788,2.1530085412,2.7575494733,2.3279702833,2.259970636,2.1386266417,1.9888976168,1.8370900889,1.6863473284,1.5388822564,1.3952617723,1.2398490278,1.0755643403,0.9926477807
BA14_120_1Slices,0.8832341615,0.9738525644,1.2208728424,1.4504022318,1.6876678669,1.9126856458,2.1067845706,2.2459859853,2.8056427755,2.3423630202,2.3105349148,2.2372916278,2.1425958071,2.0338821875,1.9262958326,1.8060836877,1.6805371418,1.5569326774,1.4349055465,1.4409606032
BA14_120_4Slices,0.9391028302,0.8969139688,1.1281866857,1.3987422697,1.6625578541,1.8839530695,2.0623931125,2.1899973878,2.8399508716,2.2817478713,2.2567757166,2.1923994993,2.1039532847,1.9904229736,1.8743589389,1.7502152658,1.6150564873,1.4680978983,1.3216330506,1.2572727488
BA16_120_1Slices,1.4852479735,1.1506971673,1.1809978745,1.2471235281,1.4621283257,1.7798378788,2.0554574503,2.2449601878,2.8064398465,2.3659841931,2.3251966133,2.2498095188,2.1459163226,2.0314268547,1.9086866745,1.7705818656,1.6356217551,1.4861038373,1.3289450626,1.2912839696
BA16_120_3Slices,1.1627838722,1.1070830946,1.2202409124,1.4518166433,1.6881085168,1.9226224702,2.1166399611,2.2479763875,2.8159745541,2.3423325994,2.3182616647,2.2523646591,2.1570577293,2.0407429087,1.9163418705,1.7846761378,1.6501952827,1.5091222317,1.3786543653,1.3820027389
BA17_120_1Slices,0.6539311311,1.0774747656,1.4456932406,1.7512243944,1.9970232076,2.1631452291,2.2529028541,2.810752842,2.2940321566,2.2617835585,2.2109289116,2.1404087933,2.0493217896,1.9564604979,1.843597861,1.7167242878,1.5925021652,1.4667656921,1.3195020316,1.2406043528
BA17_120_2Slices,0.446125784,0.9184106695,1.311168741,1.64708695,1.9140215432,2.1019130503,2.2177280177,2.763837989,2.2606627479,2.2247839485,2.1670422346,2.1031849343,2.0188831567,1.9249356043,1.8203750242,1.6930255787,1.5589619968,1.4350535516,1.2830450836,1.2381643703
BA17_120_3Slices,0.2939779695,0.5846020011,1.071301384,1.4631418578,1.7699786038,2.015685056,2.1716521628,2.7813350511,2.2611475786,2.2298947344,2.1804089512,2.1070976762,2.0302053667,1.9285415784,1.8232543434,1.696425087,1.5660450187,1.4411528519,1.2902848636,1.2243302855
BA18_120_1Slices,1.4953581462,1.2409585362,1.3005605182,1.4352970997,1.6413524118,1.8633143505,2.0568210401,2.1954684777,2.8334985721,2.3102642907,2.2978278139,2.2438695267,2.1526312248,2.020549182,1.8661214622,1.6656948944,1.4563333622,1.2144078848,0.9683770965,0.7177669941
BA18_120_2Slices,1.6148224707,1.3483262289,1.3794676868,1.4541605488,1.5906992949,1.8167020361,2.0305233816,2.1954957983,2.8212029587,2.3425711231,2.3323332213,2.272442635,2.1656231861,2.0165067788,1.8347622072,1.6248336846,1.3992116242,1.1336165223,0.852994904,0.5935822599
BA18_120_3Slices,1.4705216868,1.2246224233,1.2753863843,1.438542618,1.6540269498,1.8860096249,2.0763812852,2.2133792158,2.8180974969,2.3270510555,2.3127468906,2.2583463331,2.1649274134,2.0348039913,1.8775136784,1.6906559233,1.4885307571,1.264729308,1.0621814016,0.9138578749
BA19_120_1Slices,0.8617677072,0.9131741568,1.1808144359,1.4527238507,1.7166126961,1.9393099393,2.1137796548,2.2339267236,2.8115931053,2.323576585,2.2997085333,2.2391346941,2.1480947153,2.034213286,1.9186086154,1.7874362052,1.655579773,1.5365054365,1.4266785673,1.3961469794
BA19_120_2Slices,0.5012280301,0.6874851152,1.0495760249,1.4235331985,1.7391248844,1.9998631979,2.1865314126,2.2953406712,2.811252877,2.3121355355,2.2448231575,2.1511562072,2.0417165466,1.9285732742,1.8211105261,1.7220487585,1.6320643524,1.5483818532,1.4730985786,1.5957596267
